player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"spratt",4wHZuZ5T4u,2024-06-07T01:50:38.933Z,,4000,,4628,628
"Colyb",KN9yi2jW6z,2024-06-07T01:25:56.529Z,2024-06-07T02:47:42.480Z,2000,6265,0,4000
"Colyb",KN9yi2jW6z,2024-06-07T01:22:12.913Z,2024-06-07T01:23:23.472Z,2000,0,0,-2000
"spratt",4wHZuZ5T4u,2024-06-07T01:09:11.155Z,2024-06-07T01:49:51.755Z,2000,0,0,-2000
"riley",GU3jMj6kwF,2024-06-07T00:36:16.605Z,2024-06-07T02:36:10.516Z,2000,0,0,-2000
"Griffin",yToxdfW37X,2024-06-07T00:26:45.883Z,2024-06-07T02:20:49.439Z,2000,0,0,-2000
"Garrett",JwstXlBnhP,2024-06-07T00:26:45.880Z,,2000,,8107,6107
"Colyb",KN9yi2jW6z,2024-06-07T00:26:45.890Z,2024-06-07T01:20:25.078Z,2000,0,0,-2000
"spratt",4wHZuZ5T4u,2024-06-07T00:26:45.888Z,2024-06-07T01:08:12.102Z,2000,0,0,-2000
"Andy",BB373CmEfj,2024-06-07T00:26:45.885Z,,2000,,3000,1000
